                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7308,                 6.5095,                 2.2868,                0.19811,                0.02267,                0.01646,                0.00566,                 2.5072,                 3.8614,                 2.2611,             0.00030217,             0.00030217,             0.00030217
                      2,                 2.4638,                 4.4738,                 2.0478,                0.23989,                0.05659,                0.03797,                  0.011,                 2.4341,                 3.5495,                 2.1336,             0.00059917,             0.00059917,             0.00059917
                      3,                 2.4203,                 3.7647,                 2.0448,                0.24646,                0.06223,                0.04911,                0.01717,                 2.4188,                 3.5452,                 2.2615,             0.00089018,             0.00089018,             0.00089018
                      4,                 2.3978,                 3.4756,                 2.0248,                0.14834,                0.08354,                0.08075,                0.02812,                 2.3408,                 3.1845,                 2.2303,               0.000882,               0.000882,               0.000882
                      5,                 2.3527,                 3.3114,                 2.0159,                0.21821,                0.11705,                0.08617,                0.03163,                 2.3337,                 3.3457,                 2.2039,               0.000882,               0.000882,               0.000882
                      6,                 2.2692,                 3.1048,                 1.9813,                0.16253,                0.15853,                 0.1081,                0.04117,                  2.253,                 2.9746,                 2.1519,               0.000873,               0.000873,               0.000873
                      7,                 2.2508,                 3.0138,                 1.9555,                0.24455,                0.20043,                0.15724,                0.05493,                 2.2387,                 2.9236,                 2.0575,               0.000864,               0.000864,               0.000864
                      8,                 2.1965,                 2.8605,                 1.9273,                0.26228,                 0.2152,                0.19163,                0.07559,                 2.1262,                 2.6006,                 1.9804,             0.00085501,             0.00085501,             0.00085501
                      9,                 2.1598,                 2.7532,                  1.874,                0.41547,                0.24696,                0.20737,                0.08273,                  2.169,                  2.666,                 2.0226,             0.00084601,             0.00084601,             0.00084601
                     10,                 2.1193,                 2.6797,                 1.8513,                  0.343,                0.24925,                0.22392,                0.08803,                 2.0737,                 2.6349,                 2.0209,             0.00083701,             0.00083701,             0.00083701
                     11,                  2.095,                 2.6213,                 1.8441,                0.44317,                0.27669,                0.25339,                 0.1052,                  2.026,                 2.4267,                 1.9079,             0.00082801,             0.00082801,             0.00082801
                     12,                 2.0877,                 2.5925,                 1.8339,                0.35693,                0.28425,                0.27234,                0.10734,                 2.0486,                 2.4152,                 1.9606,             0.00081901,             0.00081901,             0.00081901
                     13,                 2.0611,                 2.5192,                 1.8103,                0.44038,                0.27269,                0.29773,                0.12475,                 1.9992,                 2.3506,                 1.9439,             0.00081001,             0.00081001,             0.00081001
                     14,                 2.0438,                 2.4468,                 1.8091,                0.51144,                0.31495,                0.45084,                0.15131,                 2.0021,                 2.2709,                 1.9379,             0.00080101,             0.00080101,             0.00080101
                     15,                 2.0033,                 2.3948,                 1.7818,                0.45938,                0.35068,                0.33951,                0.15041,                 1.9916,                 2.1963,                 1.9078,             0.00079201,             0.00079201,             0.00079201
                     16,                 2.0021,                  2.353,                 1.7763,                0.53381,                0.36429,                0.37387,                0.15208,                 1.9945,                  2.223,                 1.9453,             0.00078301,             0.00078301,             0.00078301
                     17,                  1.955,                 2.2684,                 1.7445,                0.59676,                0.37385,                0.47508,                0.19897,                 1.9969,                 2.0075,                 1.9255,             0.00077401,             0.00077401,             0.00077401
                     18,                 1.9563,                 2.2368,                 1.7333,                0.57254,                0.39187,                0.53953,                0.21462,                 1.9906,                 2.0666,                 1.9108,             0.00076501,             0.00076501,             0.00076501
                     19,                 1.9184,                 2.2139,                 1.7109,                0.57932,                0.39127,                0.54892,                0.22304,                 1.8877,                 1.9764,                 1.8469,             0.00075602,             0.00075602,             0.00075602
                     20,                 1.8779,                 2.1204,                 1.6784,                0.64531,                0.39493,                0.44653,                0.20727,                 1.9516,                 2.0088,                 1.8925,             0.00074702,             0.00074702,             0.00074702
